company,condition,replicates,bertscore_f1,bertscore_precision,bertscore_recall,bertscore_f1_std
현대건설,full,3,0.8869737585385641,0.8842077851295471,0.8897620240847269,0.0026287784486464087
현대건설,random_news,3,0.8713754812876383,0.8678190509478251,0.8749638994534811,0.009233023846484313
현대건설,no_peer,3,0.8845382730166117,0.8814328114191691,0.8876685500144958,0.010032143295267037
현대건설,no_subdata,3,0.8853164513905843,0.8811646302541097,0.8895099759101868,0.003978782610031893
현대건설,one_team,3,0.8755840460459391,0.8721110820770264,0.8790883620580038,0.006932601298654981
두산,full,3,0.8643968105316162,0.8729283014933268,0.856036365032196,0.005502841933281399
두산,random_news,3,0.8466156125068665,0.8567268053690592,0.8367475271224976,0.0016505742951655911
두산,no_peer,3,0.8655675848325094,0.8731953899065653,0.8580742279688517,0.006060347612980547
두산,no_subdata,3,0.8704661329587301,0.8785214026769003,0.8625587423642477,0.006161847237395757
두산,one_team,3,0.8548891345659891,0.8649308085441589,0.8450794021288554,0.0067730398202333775
BGF리테일,full,3,0.8800522089004517,0.8874924182891846,0.87273637453715,0.005796171248497702
BGF리테일,random_news,3,0.8779977560043335,0.8878946503003439,0.8683366378148397,0.0064052111185548865
BGF리테일,no_peer,3,0.8736234505971273,0.8846845030784607,0.8628444075584412,0.009709713831583658
BGF리테일,no_subdata,3,0.8710022370020548,0.878715713818868,0.8634474476178488,0.00651690409679147
BGF리테일,one_team,3,0.8675883014996847,0.8771958947181702,0.8581907351811727,0.007660734069068877
아모레퍼시픽,full,3,0.895239015420278,0.8996504346529642,0.8908731540044149,0.011865095622122146
아모레퍼시픽,random_news,3,0.8905540108680725,0.8928431272506714,0.8882789214452108,0.010184565198740668
아모레퍼시픽,no_peer,3,0.9062613248825073,0.9103581110636393,0.9022040963172913,0.006432289333656897
아모레퍼시픽,no_subdata,3,0.8969615697860718,0.9011422594388326,0.8928230404853821,0.006110175522158998
아모레퍼시픽,one_team,3,0.9020439783732096,0.9047675331433614,0.8993391791979471,0.00915855692654287
SK바이오팜,full,3,0.8623682459195455,0.868962824344635,0.8558763861656189,0.009806599672682827
SK바이오팜,random_news,3,0.8434404532114664,0.8508677283922831,0.8361558516820272,0.028538623707418602
SK바이오팜,no_peer,3,0.8578128218650818,0.8630120754241943,0.8527066111564636,0.027991114444630757
SK바이오팜,no_subdata,3,0.8502667943636576,0.8577696084976196,0.8428945144017538,0.011199363826002524
SK바이오팜,one_team,3,0.8432000676790873,0.8507295250892639,0.8358119130134583,0.019592703051095676
